"Skill","RelativePath","RootHash","DocumentSkillsHash"
"docx","docx-js.md","83B4A2F88D058A10509FBC0B3B12B6933C407805F4D4AFC955CD3FB939C16428","F451303C34A20D591D323A3DEF1588F620CBF2F95109E374035065E9ADB6C652"
"docx","LICENSE.txt","79F6D8F5B427252FA3B1C11ECDBDB6BF610B944F7530B4DE78F770F38741CFAA","6F8BD7F4D8EC5CB52B7A59CCB9E8C14C2A4BA529CB5ADFC5E0BC676892B8CA79"
"docx","ooxml.md","A16F922797EEAA3670EA31C1E49D15B799613D03F39445C857A5DD3221AA3597","C52085A247A6A02DE2510E791073AEAA3A8D6ADDF4620F84F382D88C95D95CA1"
"docx","ooxml\schemas\ecma\fouth-edition\opc-contentTypes.xsd","9E0B7209FC69AB11987900404540969976000C5EBE4D4F58C43DC3842886BF3A","49EC1C03440A9B5590E69ACDF92B200FE133697DE0B05F43A129FB94D1885026"
"docx","ooxml\schemas\ecma\fouth-edition\opc-coreProperties.xsd","451958454E8588DFC7CD945981ADA142CA06FF3307937F5700DF059C2B307FA8","69688EA15F82A870053B9A60C79359063DBCFEEC9CDABAFABAD51A53934BC35B"
"docx","ooxml\schemas\ecma\fouth-edition\opc-digSig.xsd","6DE111E11403F7CD49027400755BAE0EA1CABEF2815F09BD40A24F0017613B24","EE7E7E1B9A1340536E25E87C8650A2B90A43B0E67D02D6746CD430048B3C1439"
"docx","ooxml\schemas\ecma\fouth-edition\opc-relationships.xsd","F565ADFEF5A502044ABC3A9153E157EDC25AF78304D335994AFB958874B15E26","607FFB6879CF5D5D765BFDFB2548F3F427EA964DDEE6D08A15F0DC781749866D"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\dml-chart.xsd","41B93BD8857CC68B1E43BE2806A872D736A9BDD6566900062D8FDB57D7BBB354","4DE4390A26E7E44E682ED98B39872CCE2620F807F5B0DE421567A43F74526388"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\dml-chartDrawing.xsd","3FD0586F2637B98BB9886F0E0B67D89E1CC987C2D158CC7DEB5F5B9890CED412","71A6E04D3DBB21E4B705DA8BB9A3C71E4295A389C15C09BD255F216DE238097B"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\dml-diagram.xsd","29B254EE0D10414A8504B5A08149C7BAEC35A60D5FF607D6B3F492AA36815F40","809F77F658F71E10F5CFBF99E25C895A23A4E62C81210B59A2FE8C7FB24849D2"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\dml-lockedCanvas.xsd","5CB76DABD8B97D1E9308A1700B90C20139BE4D50792D21A7F09789F5CCCD6026","06555CED1E626EBCD9BB4A495B78D9596555F945B09161DEA6C4CD4D8874A0BA"
"docx","ooxml\schemas\ISO-IEC29500-4_2016\dml-main.xsd","5375417F0F5394B8DD1A7035B9679151F19A6B65DF309DEC10CFB4A420CB00E9","6978BA7E889070B0C3CB5B546B23E5A6C3516134AFC53B87A21F482CA33F3858"
